"","school","student","sex","score1","score2"
"872","68111","109",0,49,74
"873","68111","113",1,60,89.8
"874","68111","120",0,37,73.1
"875","68111","121",0,55,85.1
"876","68121","5000",1,52,77.7
"877","68121","5002",0,46,78.7
"878","68121","5003",1,40,NA
"879","68121","5010",1,51,NA
"880","68121","5014",1,38,92.5
"881","68121","5024",1,43,86.1
"882","68121","5032",1,NA,82.4
"883","68121","5036",1,38,53.7
"884","68121","5039",1,33,59.2
"885","68121","5070",1,33,37.9
"886","68121","5075",1,35,88.8
"887","68121","5080",1,43,83.3
"888","68121","5089",1,NA,88.8
"889","68121","5095",1,52,98.1
"890","68121","5105",1,NA,80.5
"891","68121","5107",0,55,61.1
"892","68121","5117",1,45,96.2
"893","68121","5124",1,39,41.6
"894","68121","5131",1,41,61.1
"895","68121","5132",0,51,72.2
"896","68121","5146",1,67,94.4
"897","68121","5153",0,NA,65.7
"898","68125","14",0,56,71.2
"899","68125","15",0,56,91.6
"900","68125","16",1,40,64.8
"901","68125","18",1,55,98.1
"902","68125","19",1,28,NA
"903","68125","27",0,45,74
"904","68125","41",1,60,93.5
"905","68125","42",1,35,86.1
"906","68125","45",1,25,61.1
"907","68125","61",1,38,87.9
"908","68125","63",0,32,82.4
"909","68125","73",1,41,79.6
"910","68125","74",1,41,80.5
"911","68125","77",1,43,92.5
"912","68125","82",1,NA,87.9
"913","68125","91",0,49,57.4
"914","68125","93",1,57,90.7
"915","68125","96",1,44,25
"916","68125","99",1,48,84.2
"917","68125","100",1,NA,94.4
"918","68125","101",1,38,75
"919","68125","104",1,51,60.1
"920","68125","105",1,76,93.5
"921","68125","111",1,51,85.1
"922","68125","116",0,30,9.25
"923","68125","117",1,62,86.1
"924","68125","121",1,37,69.4
"925","68125","126",0,29,33.3
"926","68125","127",1,36,91.6
"927","68125","128",1,48,78.7
"928","68125","131",1,37,84.2
"929","68125","135",1,55,97.2
"930","68125","136",1,56,90.7
"931","68125","139",0,38,62
"932","68125","145",1,62,90.7
"933","68125","149",0,48,65.7
"934","68125","156",0,52,78.7
"935","68125","159",0,40,76.8
"936","68125","174",1,56,88.8
"937","68125","176",1,52,61.1
"938","68125","183",1,53,78.7
"939","68125","185",1,34,NA
"940","68125","196",0,46,87
"941","68125","199",0,66,NA
"942","68125","208",0,39,79.6
"943","68125","211",1,62,98.1
"944","68125","213",1,64,91.6
"945","68125","214",1,23,73.1
"946","68125","215",1,43,84.2
"947","68125","216",1,73,98.1
"948","68133","5020",1,45,86.1
"949","68133","5023",1,25,71.2
"950","68133","5035",1,34,93.5
"951","68133","5037",0,35,NA
"952","68133","5043",1,36,82.4
"953","68133","5056",1,37,78.7
"954","68133","5069",0,46,55.5
"955","68133","5071",0,41,70.3
"956","68133","5083",1,NA,85.1
"957","68133","5084",0,58,NA
"958","68133","5087",1,41,88.8
"959","68133","5093",1,NA,87.9
"960","68133","5098",0,38,87.9
"961","68133","5100",0,64,85.1
"962","68133","5104",0,21,50.9
"963","68133","5108",0,30,66.6
"964","68133","5111",1,20,29.6
"965","68133","5112",1,59,90.7
"966","68133","5131",0,29,72.2
"967","68133","5143",0,57,92.5
"968","68133","5152",0,NA,72.2
"969","68133","5159",1,NA,40.7
"970","68133","5163",1,37,85.1
"971","68133","5176",1,27,67.5
"972","68133","5177",1,51,88.8
"973","68133","5183",0,43,79.6
"974","68133","5195",0,NA,73.1
"975","68133","5196",0,23,81.4
"976","68133","5198",1,31,60.1
"977","68133","5202",1,40,91.6
"978","68133","5203",1,14,NA
"979","68133","5205",1,36,77.7
"980","68133","5210",1,20,59.2
"981","68133","5214",1,39,NA
"982","68133","5219",1,30,NA
"983","68133","5220",0,38,86.1
"984","68133","5232",1,33,NA
"985","68133","5255",1,40,80.5
"986","68133","5257",1,NA,69.4
"987","68133","5261",1,36,76.8
"988","68133","5270",0,30,70.3
"989","68133","5278",1,60,89.8
"990","68133","5287",0,32,69.4
"991","68133","5288",1,43,91.6
"992","68133","5291",1,NA,92.5
"993","68133","5296",1,51,91.6
"994","68133","5298",0,25,63.8
"995","68137","1",1,18,56.4
"996","68137","2",1,23,55.5
"997","68137","3",1,25,NA
"998","68137","4",1,29,73.1
"999","68137","5",1,NA,66.6
"1000","68137","9",1,20,60.1
"1001","68137","11",1,34,63.8
"1002","68137","12",1,60,89.8
"1003","68137","13",1,44,76.8
"1004","68137","14",1,20,58.3
"1005","68137","16",1,16,52.7
"1006","68137","18",1,41,54.6
"1007","68137","19",1,40,NA
"1008","68137","22",1,34,85.1
"1009","68137","23",1,25,61.1
"1010","68137","24",1,51,73.1
"1011","68137","25",1,23,75
"1012","68137","26",1,18,75.9
"1013","68137","27",1,36,69.4
"1014","68137","28",1,38,72.2
"1015","68137","34",1,13,55.5
"1016","68137","38",1,53,82.4
"1017","68137","39",1,18,47.2
"1018","68137","41",1,18,56.4
"1019","68137","42",1,36,83.3
"1020","68137","43",1,51,64.8
"1021","68137","44",1,NA,59.2
"1022","68137","45",1,18,49
"1023","68137","46",1,44,84.2
"1024","68137","48",1,27,78.7
"1025","68137","49",1,35,61.1
"1026","68137","50",1,34,83.3
"1027","68137","52",1,23,27.7
"1028","68137","53",1,NA,37
"1029","68137","54",1,22,54.6
"1030","68137","55",1,NA,88.8
"1031","68137","56",1,32,73.1
"1032","68137","59",1,59,89.8
"1033","68137","62",1,36,69.4
"1034","68137","64",1,23,74
"1035","68137","65",1,2.5,50
"1036","68137","66",1,NA,39.8
"1037","68137","67",1,39,64.8
"1038","68137","68",1,NA,92.5
"1039","68137","69",1,23,76.8
"1040","68137","70",1,41,67.5
"1041","68137","74",1,21,81.4
"1042","68137","75",1,14,31.4
"1043","68137","77",1,18,60.1
"1044","68137","78",1,13,54.6
"1045","68137","79",1,7.5,27.7
"1046","68137","80",1,4.3,50.9
"1047","68137","81",1,23,54.6
"1048","68137","82",1,30,80.5
"1049","68137","83",1,30,84.2
"1050","68137","84",1,14,28.7
"1051","68137","85",1,11,27.7
"1052","68137","86",1,41,70.3
"1053","68137","87",1,39,76.8
"1054","68137","88",1,36,NA
"1055","68137","91",1,16,76.8
"1056","68137","92",1,13,62
"1057","68137","93",1,NA,32.4
"1058","68137","94",1,43,NA
"1059","68137","96",1,18,32.4
"1060","68137","97",1,11,57.4
"1061","68137","98",1,NA,58.3
"1062","68137","99",1,20,NA
"1063","68137","100",1,11,61.1
"1064","68137","101",1,33,72.2
"1065","68137","207",0,32,52.7
"1066","68137","208",0,25,59.2
"1067","68137","209",0,11,37
"1068","68137","212",0,34,54.6
"1069","68137","213",0,34,NA
"1070","68137","214",0,23,51.8
"1071","68137","215",0,25,60.1
"1072","68137","219",0,33,NA
"1073","68137","221",0,48,85.1
"1074","68137","222",0,20,73.1
"1075","68137","223",0,34,65.7
"1076","68137","226",0,32,62.9
"1077","68137","228",0,23,43.5
"1078","68137","231",0,25,55.5
"1079","68137","233",0,30,37
"1080","68137","234",0,33,49
"1081","68137","237",0,37,69.4
"1082","68137","239",0,36,63.8
"1083","68137","242",0,18,42.5
"1084","68137","243",0,27,57.4
"1085","68137","244",0,NA,72.2
"1086","68137","246",0,51,NA
"1087","68137","251",0,41,67.5
"1088","68137","252",0,NA,75.9
"1089","68137","254",0,35,NA
"1090","68137","255",0,36,62
"1091","68137","258",0,23,61.1
"1092","68137","260",0,25,NA
"1093","68137","261",0,46,89.8
"1094","68137","264",0,50,70.3
"1095","68137","268",0,15,43.5
"1096","68137","270",0,NA,73.1
"1097","68137","272",0,43,78.7
"1098","68137","273",0,35,60.1
"1099","68201","3",0,82,92.5
"1100","68201","5",1,79,88.8
"1101","68201","11",1,50,71.2
"1102","68201","14",0,60,61.1
"1103","68207","7",1,32,58.3
"1104","68207","84",1,25,41.6
"1105","68207","101",1,23,62.9
"1106","68207","126",1,26,57.4
"1107","68207","167",0,NA,50
"1108","68217","1",0,41,70.3
"1109","68217","3",0,37,43.5
"1110","68217","16",0,31,44.4
"1111","68217","70",0,NA,76.8
"1112","68217","71",1,49,95.3
"1113","68217","74",1,36,NA
"1114","68217","75",1,32,74
"1115","68217","76",1,23,NA
"1116","68217","83",1,20,76.8
"1117","68217","87",1,30,88.8
"1118","68217","94",1,36,72.2
"1119","68217","100",1,43,84.2
"1120","68217","101",1,41,82.4
"1121","68217","106",1,45,73.1
"1122","68217","108",1,NA,93.5
"1123","68217","109",1,NA,73.1
"1124","68217","110",1,26,86.1
"1125","68217","112",1,50,87
"1126","68217","114",1,32,85.1
"1127","68217","118",1,30,74
"1128","68217","121",1,48,94.4
"1129","68217","125",1,38,62
"1130","68217","132",1,NA,86.1
"1131","68227","3",0,56,76.8
"1132","68227","13",0,60,79.6
"1133","68227","15",0,39,76.8
"1134","68227","20",0,35,70.3
"1135","68227","21",0,38,76.8
"1136","68227","28",0,50,61.1
"1137","68227","30",0,36,10.1
"1138","68227","33",0,53,NA
"1139","68227","44",0,36,70.3
"1140","68227","46",0,41,87
"1141","68227","50",0,46,57.4
"1142","68227","54",0,48,NA
"1143","68227","55",0,41,62.9
"1144","68227","80",1,44,70.3
"1145","68227","84",1,40,62
"1146","68227","122",1,NA,76.8
"1147","68227","123",1,32,76.8
"1148","68233","403",1,NA,92.5
"1149","68233","405",1,30,78.7
"1150","68233","408",0,37,43.5
"1151","68233","422",0,39,67.5
"1152","68233","428",0,51,67.5
"1153","68233","433",0,26,NA
"1154","68233","434",0,32,44.4
"1155","68233","436",0,41,65.7
"1156","68233","438",1,23,47.2
"1157","68233","439",1,NA,51.8
"1158","68233","440",1,32,74
"1159","68233","441",1,65,92.5
"1160","68233","442",1,35,58.3
"1161","68233","444",1,66,90.7
"1162","68233","445",1,50,NA
"1163","68233","446",1,NA,81.4
"1164","68233","448",1,25,41.6
"1165","68233","455",0,33,39.8
"1166","68233","457",0,14,23.1
"1167","68233","466",1,27,50
"1168","68233","467",1,60,85.1
"1169","68233","469",1,41,51.8
"1170","68233","470",1,37,55.5
"1171","68233","471",1,43,88.8
"1172","68233","473",1,31,60.1
"1173","68233","480",0,38,47.2
"1174","68233","484",0,35,50
"1175","68233","487",0,35,64.8
"1176","68233","490",1,45,85.1
"1177","68233","495",1,57,NA
"1178","68233","498",1,73,89.8
"1179","68233","501",1,18,68.5
"1180","68233","634",1,NA,60.1
"1181","68233","652",1,43,71.2
"1182","68233","777",1,NA,60.1
"1183","68233","921",0,58,50
"1184","68233","1052",1,30,52.7
"1185","68237","7",0,48,67.5
"1186","68237","11",1,48,83.3
"1187","68237","18",0,55,62.9
"1188","68237","32",1,61,87
"1189","68237","36",1,60,99
"1190","68237","41",1,55,86.1
"1191","68237","42",1,38,82.4
"1192","68237","47",1,46,NA
"1193","68237","51",1,59,NA
"1194","68237","62",0,49,77.7
"1195","68237","71",1,46,73.1
"1196","68237","73",0,56,75.9
"1197","68237","75",0,46,80.5
"1198","68237","84",0,48,65.7
"1199","68237","85",1,NA,93.5
"1200","68237","87",0,53,86.1
"1201","68237","93",1,41,NA
"1202","68237","110",0,46,74
"1203","68237","115",1,27,NA
"1204","68237","126",0,49,72.2
"1205","68237","128",0,46,92.5
"1206","68237","129",1,59,65.7
"1207","68237","134",0,41,74
"1208","68237","137",1,NA,83.3
"1209","68237","153",1,61,87
"1210","68237","158",1,38,66.6
"1211","68237","161",0,53,NA
"1212","68237","162",0,53,78.7
"1213","68237","164",1,39,52.7
"1214","68237","173",1,40,NA
"1215","68237","178",1,43,66.6
"1216","68237","185",1,46,90.7
"1217","68237","188",0,66,77.7
"1218","68237","195",1,NA,99
"1219","68237","197",0,51,81.4
"1220","68237","208",1,71,94.4
"1221","68237","212",0,52,87
"1222","68241","1004",1,53,88.8
"1223","68241","1012",1,48,76.8
"1224","68241","1020",1,61,70.3
"1225","68241","1021",1,46,NA
"1226","68241","1031",1,53,87
"1227","68241","1032",1,53,90.7
"1228","68241","1056",1,46,59.2
"1229","68241","1066",1,33,63.8
"1230","68241","1070",1,49,58.3
"1231","68241","1072",1,41,79.6
"1232","68241","1073",1,53,74
"1233","68241","1074",1,39,75.9
"1234","68241","1076",0,49,46.2
"1235","68241","1095",0,70,86.1
"1236","68241","1108",0,71,NA
"1237","68241","1116",0,46,NA
"1238","68241","1117",0,56,75.9
"1239","68241","1138",0,NA,87.9
"1240","68255","1",0,38,50.9
"1241","68255","2",0,55,84.2
"1242","68255","6",0,48,86.1
"1243","68255","9",0,46,78.7
"1244","68255","10",0,55,87.9
"1245","68255","24",0,53,93.5
"1246","68255","28",0,68,95.3
"1247","68255","35",0,65,80.5
"1248","68255","43",0,43,78.7
"1249","68255","53",0,62,84.2
"1250","68255","56",0,51,78.7
"1251","68255","57",0,NA,81.4
"1252","68255","63",0,51,83.3
"1253","68255","67",0,66,98.1
"1254","68255","70",1,50,90.7
"1255","68255","79",1,61,88.8
"1256","68255","83",1,53,94.4
"1257","68255","89",1,61,80.5
"1258","68255","98",1,60,92.5
"1259","68255","102",1,53,88.8
"1260","68255","106",1,43,90.7
"1261","68255","110",1,58,75.9
"1262","68255","116",1,55,85.1
"1263","68255","118",1,53,92.5
"1264","68271","21",1,NA,75.9
"1265","68271","48",1,31,62.9
"1266","68271","75",1,44,56.4
"1267","68271","90",1,36,49
"1268","68271","92",0,NA,83.3
"1269","68271","102",0,25,41.6
"1270","68271","141",0,45,62
"1271","68271","160",1,36,89.8
"1272","68271","169",1,43,84.2
"1273","68271","170",0,56,89.8
"1274","68271","241",1,36,79.6
"1275","68271","243",1,51,NA
"1276","68271","246",1,36,73.1
"1277","68303","4",0,NA,68.5
"1278","68303","9",0,44,63.8
"1279","68303","18",0,67,85.1
"1280","68303","25",0,39,NA
"1281","68303","31",0,55,58.3
"1282","68303","32",0,60,83.3
"1283","68303","35",0,30,NA
"1284","68303","49",1,45,42.5
"1285","68303","50",0,41,54.6
"1286","68303","53",0,NA,69.4
"1287","68303","63",0,48,71.2
"1288","68303","64",1,62,84.2
"1289","68303","80",1,NA,82.4
"1290","68303","86",1,46,69.4
"1291","68303","93",1,40,67.5
"1292","68303","96",0,56,65.7
"1293","68303","100",0,71,95.3
"1294","68303","101",0,48,85.1
"1295","68303","106",0,37,67.5
"1296","68303","110",1,51,84.2
"1297","68303","113",0,67,69.4
"1298","68303","117",0,48,61.1
"1299","68303","120",0,35,51.8
"1300","68303","128",1,32,55.5
"1301","68303","138",1,57,79.6
"1302","68303","141",1,43,57.4
"1303","68303","153",0,50,39.8
"1304","68303","157",1,55,75
"1305","68303","161",1,43,54.6
"1306","68303","167",1,28,62
"1307","68303","168",1,53,79.6
"1308","68303","169",1,36,66.6
"1309","68303","175",0,52,62
"1310","68303","176",1,63,69.4
"1311","68303","178",0,65,76.8
"1312","68303","192",1,56,63.8
"1313","68303","193",0,55,73.1
"1314","68303","195",0,56,60.1
"1315","68303","197",0,59,65.7
"1316","68303","199",0,46,56.4
"1317","68321","5001",1,51,78.7
"1318","68321","5005",1,41,83.3
"1319","68321","5021",1,51,77.7
"1320","68321","5023",0,43,97.2
"1321","68321","5031",0,64,97.2
"1322","68321","5032",1,NA,100
"1323","68321","5033",0,57,91.6
"1324","68321","5034",1,31,73.1
"1325","68321","5035",1,48,83.3
"1326","68321","5040",0,43,73.1
"1327","68321","5041",1,39,58.3
"1328","68321","5042",0,68,63.8
"1329","68321","5049",1,NA,65.7
"1330","68321","5050",0,36,NA
"1331","68321","5051",0,50,NA
"1332","68321","5052",1,NA,78.7
"1333","68321","5053",0,40,69.4
"1334","68321","5057",0,72,NA
"1335","68321","5058",0,39,82.4
"1336","68321","5059",1,55,73.1
"1337","68321","5067",0,52,72.2
"1338","68321","5076",0,NA,83.3
"1339","68321","5080",1,41,81.4
"1340","68321","5082",1,56,87
"1341","68321","5083",0,60,78.7
"1342","68321","5089",0,48,76.8
"1343","68321","5092",1,41,85.1
"1344","68321","5093",0,38,43.5
"1345","68321","5094",0,46,61.1
"1346","68321","5097",1,48,94.4
"1347","68321","5098",1,65,88.8
"1348","68321","5099",0,50,78.7
"1349","68321","5106",1,60,77.7
"1350","68321","5107",1,51,60.1
"1351","68321","5113",0,NA,61.1
"1352","68321","5125",1,60,92.5
"1353","68321","5128",0,61,79.6
"1354","68321","5130",1,51,74
"1355","68321","5131",0,81,96.2
"1356","68321","5133",0,59,97.2
"1357","68321","5136",0,50,NA
"1358","68321","5137",1,59,72.2
"1359","68321","5138",1,NA,73.1
"1360","68321","5140",1,59,84.2
"1361","68321","5144",1,53,70.3
"1362","68321","5148",1,53,NA
"1363","68321","5149",0,43,NA
"1364","68321","5150",1,53,85.1
"1365","68321","5151",1,60,83.3
"1366","68321","5152",1,46,83.3
"1367","68321","5153",0,68,88.8
"1368","68321","5154",1,NA,61.1
"1369","68329","8",0,44,62.9
"1370","68329","103",1,53,79.6
"1371","68329","128",1,40,91.6
"1372","68329","133",0,43,75
"1373","68329","156",1,55,92.5
"1374","68329","163",1,50,89.8
"1375","68405","5007",0,NA,87.9
"1376","68405","5011",0,51,95.3
"1377","68405","5023",1,67,73.1
"1378","68405","5026",1,65,87.9
"1379","68405","5028",0,55,89.8
"1380","68405","5035",1,76,95.3
"1381","68405","5045",1,51,67.5
"1382","68405","5050",1,NA,78.7
"1383","68405","5062",0,53,NA
"1384","68405","5063",1,53,64.8
"1385","68405","5070",1,65,NA
"1386","68405","5074",0,41,63.8
"1387","68405","5080",1,34,79.6
"1388","68405","5090",0,56,77.7
"1389","68405","5091",1,65,90.7
"1390","68405","5092",0,61,84.2
"1391","68405","5097",1,48,93.5
"1392","68405","5104",1,66,74
"1393","68405","5113",1,50,86.1
"1394","68405","5116",1,48,77.7
"1395","68405","5119",1,66,87.9
"1396","68405","5131",1,NA,74
"1397","68405","5133",0,NA,78.7
"1398","68405","5140",1,75,81.4
"1399","68405","5145",1,64,84.2
"1400","68405","5146",0,55,86.1
"1401","68405","5166",1,66,62
"1402","68405","5183",1,52,77.7
"1403","68405","5184",1,45,92.5
"1404","68405","5193",1,44,70.3
"1405","68405","5194",1,55,71.2
"1406","68405","5209",0,55,55.5
"1407","68405","5214",1,49,68.5
"1408","68405","5215",0,59,96.2
"1409","68405","5223",1,71,84.2
"1410","68405","5226",1,32,75.9
"1411","68411","1",1,39,70.3
"1412","68411","2",1,30,41.6
"1413","68411","3",0,46,56.4
"1414","68411","4",1,44,55.5
"1415","68411","7",1,31,55.5
"1416","68411","15",1,49,66.6
"1417","68411","19",1,NA,56.4
"1418","68411","20",0,59,81.4
"1419","68411","21",1,48,60.1
"1420","68411","22",1,46,74
"1421","68411","24",0,NA,52.7
"1422","68411","27",1,32,37
"1423","68411","28",0,NA,43.5
"1424","68411","32",0,29,45.3
"1425","68411","34",1,65,50
"1426","68411","36",1,14,19.4
"1427","68411","37",0,52,47.2
"1428","68411","39",1,31,65.7
"1429","68411","42",1,53,71.2
"1430","68411","47",1,29,58.3
"1431","68411","50",1,NA,51.8
"1432","68411","51",0,49,76.8
"1433","68411","56",1,43,50.9
"1434","68411","59",1,52,76.8
"1435","68411","60",0,26,38.8
"1436","68411","63",1,34,64.8
"1437","68411","64",1,43,NA
"1438","68411","66",0,38,58.3
"1439","68411","67",1,30,69.4
"1440","68411","71",1,NA,55.5
"1441","68411","72",1,34,68.5
"1442","68411","77",1,34,74
"1443","68411","82",0,32,NA
"1444","68411","83",1,20,30.5
"1445","68411","88",1,55,75.9
"1446","68411","90",1,32,62
"1447","68411","99",1,30,68.5
"1448","68411","101",1,62,79.6
"1449","68411","102",0,46,46.2
"1450","68411","103",1,41,64.8
"1451","68411","109",0,44,NA
"1452","68411","111",0,59,65.7
"1453","68411","112",0,30,42.5
"1454","68411","116",1,46,NA
"1455","68411","119",1,63,83.3
"1456","68411","121",1,NA,70.3
"1457","68411","122",0,38,48.1
"1458","68411","124",1,41,62.9
"1459","68411","129",0,NA,36.1
"1460","68411","136",1,25,NA
"1461","68411","137",0,55,NA
"1462","68411","138",0,41,38.8
"1463","68411","139",1,49,74
"1464","68411","141",1,36,67.5
"1465","68411","143",1,NA,68.5
"1466","68411","145",1,16,32.4
"1467","68411","148",0,NA,71.2
"1468","68411","151",0,35,60.1
"1469","68411","152",0,41,64.8
"1470","68411","154",1,28,52.7
"1471","68411","155",0,38,61.1
"1472","68411","156",1,26,58.3
"1473","68411","161",1,36,NA
"1474","68411","164",0,53,78.7
"1475","68411","165",1,46,64.8
"1476","68411","169",0,40,67.5
"1477","68411","170",0,48,76.8
"1478","68411","172",1,43,68.5
"1479","68411","176",0,36,58.3
"1480","68411","178",0,67,38.8
"1481","68411","179",0,58,70.3
"1482","68411","181",1,38,56.4
"1483","68411","182",0,23,23.1
"1484","68411","184",0,61,NA
"1485","68411","188",1,45,60.1
"1486","68411","193",1,36,56.4
"1487","68411","194",1,44,59.2
"1488","68411","195",1,43,75
"1489","68411","197",1,33,61.1
"1490","68411","200",0,50,72.2
"1491","68411","204",1,59,NA
"1492","68411","207",1,41,52.7
"1493","68411","209",1,22,50
"1494","68411","211",1,NA,71.2
"1495","68417","5000",1,30,71.2
"1496","68417","5001",1,34,76.8
"1497","68417","5002",1,70,89.8
"1498","68417","5004",0,50,81.4
"1499","68417","5009",1,32,58.3
"1500","68417","5011",0,63,80.5
"1501","68417","5012",0,53,NA
"1502","68417","5013",1,55,81.4
"1503","68417","5017",0,38,79.6
"1504","68417","5019",1,35,NA
"1505","68417","5022",0,33,78.7
"1506","68417","5024",1,34,71.2
"1507","68417","5025",0,45,67.5
"1508","68417","5026",1,48,NA
"1509","68417","5029",0,41,59.2
"1510","68417","5034",1,41,70.3
"1511","68417","5035",1,49,75.9
"1512","68417","5036",0,36,NA
"1513","68417","5038",1,NA,72.2
"1514","68417","5043",0,45,78.7
"1515","68417","5044",1,45,NA
"1516","68417","5047",0,50,70.3
"1517","68417","5052",0,64,62.9
"1518","68417","5053",0,71,89.8
"1519","68417","5054",0,78,87.9
"1520","68417","5058",1,30,70.3
"1521","68417","5061",0,46,84.2
"1522","68417","5062",0,49,60.1
"1523","68417","5063",0,65,NA
"1524","68417","5066",1,53,88.8
"1525","68417","5068",0,45,53.7
"1526","68417","5069",0,43,80.5
"1527","68417","5070",0,66,89.8
"1528","68417","5071",0,60,89.8
"1529","68417","5072",1,43,45.3
"1530","68417","5074",1,62,78.7
"1531","68417","5077",1,43,77.7
"1532","68417","5079",0,66,92.5
"1533","68417","5080",0,57,67.5
"1534","68417","5083",1,40,59.2
"1535","68417","5087",0,64,70.3
"1536","68417","5090",1,69,83.3
"1537","68417","5092",1,48,87.9
"1538","68417","5093",0,67,81.4
"1539","68417","5095",1,56,42.5
"1540","68417","5097",0,57,75
"1541","68417","5098",0,68,67.5
"1542","68531","6",1,68,74
"1543","68531","12",1,41,61.1
"1544","68531","19",0,57,NA
"1545","68531","32",0,63,68.5
"1546","68531","35",1,64,86.1
"1547","68531","68",0,56,39.8
"1548","68531","77",1,41,67.5
"1549","68531","83",1,NA,75
"1550","68531","86",1,59,NA
"1551","68531","95",1,67,78.7
"1552","68531","97",1,NA,55.5
"1553","68531","118",1,44,74
"1554","68531","126",1,59,94.4
"1555","68531","137",1,57,79.6
"1556","68531","154",1,48,87.9
"1557","68531","167",1,38,NA
"1558","68531","190",0,65,83.3
"1559","68531","192",1,53,85.1
"1560","68531","193",1,43,72.2
"1561","68531","211",1,55,81.4
"1562","68531","214",1,NA,91.6
"1563","68531","227",1,48,NA
"1564","68611","2",0,43,59.2
"1565","68611","15",0,41,51.8
"1566","68611","19",0,29,NA
"1567","68611","41",1,31,65.7
"1568","68611","47",1,35,59.2
"1569","68611","49",1,34,67.5
"1570","68611","50",1,43,80.5
"1571","68611","52",1,16,68.5
"1572","68611","53",1,31,54.6
"1573","68611","54",1,44,70.3
"1574","68629","22",0,43,84.2
"1575","68629","24",0,59,72.2
"1576","68629","25",0,53,73.1
"1577","68629","32",1,39,75
"1578","68629","44",0,76,91.6
"1579","68629","48",0,49,61.1
"1580","68629","52",1,53,69.4
"1581","68629","56",0,43,NA
"1582","68629","59",1,NA,97.2
"1583","68629","60",1,34,85.1
"1584","68629","62",1,53,81.4
"1585","68629","66",0,48,NA
"1586","68629","77",1,NA,86.1
"1587","68629","81",0,43,44.4
"1588","68629","82",1,43,79.6
"1589","68629","98",0,55,38.8
"1590","68629","102",0,50,85.1
"1591","68629","106",1,55,83.3
"1592","68629","108",1,41,68.5
"1593","68629","110",0,61,87.9
"1594","68629","115",0,59,81.4
"1595","68629","124",0,55,70.3
"1596","68629","139",1,50,98.1
"1597","68629","143",1,49,85.1
"1598","68629","156",0,48,51.8
"1599","68629","162",0,37,62.9
"1600","68629","175",0,NA,75
"1601","68629","176",1,56,82.4
"1602","68629","189",0,65,70.3
"1603","68629","197",0,41,NA
"1604","68711","17",1,30,55.5
"1605","68711","66",1,30,37
"1606","68711","75",1,37,55.5
"1607","68711","79",0,55,58.3
"1608","68711","165",1,22,NA
"1609","68711","182",1,41,70.3
"1610","68711","188",0,44,45.3
"1611","68711","225",0,46,32.4
"1612","68711","230",1,71,NA
"1613","68711","237",0,NA,47.2
"1614","68723","5107",1,48,77.7
"1615","68723","5118",1,55,NA
"1616","68723","5121",1,37,52.7
"1617","68723","5122",1,37,63.8
"1618","68723","5216",1,41,NA
"1619","68723","5221",1,NA,74
"1620","68723","5322",0,52,62.9
"1621","68723","5516",1,50,73.1
"1622","68723","5521",1,NA,80.5
"1623","68805","1",1,62,98.1
"1624","68805","12",0,64,96.2
"1625","68805","17",0,44,76.8
"1626","68805","27",0,62,96.2
"1627","68805","32",1,33,NA
"1628","68805","33",1,38,77.7
"1629","68805","41",1,60,89.8
"1630","68805","44",0,40,86.1
"1631","68805","47",1,NA,87
"1632","68805","61",0,60,86.1
"1633","68805","65",1,35,86.1
"1634","68805","66",1,32,54.6
"1635","68805","74",1,46,74
"1636","68805","76",1,51,99
"1637","68805","77",1,22,57.4
"1638","68805","78",0,45,66.6
"1639","68805","80",0,61,68.5
"1640","68805","83",0,65,93.5
"1641","68805","88",1,34,74
"1642","68805","96",0,48,90.7
"1643","68805","98",1,34,83.3
"1644","68805","99",0,52,78.7
"1645","68805","107",0,55,77.7
"1646","68805","115",1,37,85.1
"1647","68805","120",0,53,95.3
"1648","68805","133",0,65,89.8
"1649","68805","139",0,NA,90.7
"1650","68805","140",0,NA,91.6
"1651","68805","143",0,53,94.4
"1652","68805","146",0,33,79.6
"1653","68805","148",1,72,96.2
"1654","68809","1",0,43,75
"1655","68809","5",0,59,65.7
"1656","68809","7",0,44,60.1
"1657","68809","9",0,46,72.2
"1658","68809","10",1,28,73.1
"1659","68809","13",1,39,79.6
"1660","68809","14",1,25,59.2
"1661","68809","17",0,35,86.1
"1662","68809","22",1,55,NA
"1663","68809","23",1,44,69.4
"1664","68809","25",0,50,54.6
"1665","68809","29",1,40,NA
"1666","68809","30",0,46,75.9
"1667","68809","31",1,40,78.7
"1668","68809","32",0,40,60.1
"1669","68809","33",1,39,59.2
"1670","68809","36",1,61,91.6
"1671","68809","39",0,32,60.1
"1672","68809","42",0,55,77.7
"1673","68809","43",1,34,71.2
"1674","68809","44",0,53,68.5
"1675","68809","45",1,39,75
"1676","68809","46",1,43,67.5
"1677","68809","47",0,53,63.8
"1678","68809","53",1,NA,80.5
"1679","68809","57",0,64,87
"1680","68809","61",1,23,57.4
"1681","68809","66",1,52,86.1
"1682","68809","67",0,53,77.7
"1683","68809","72",1,36,75
"1684","68809","73",1,NA,84.2
"1685","68809","75",0,37,72.2
"1686","68809","76",1,41,64.8
"1687","68809","77",1,39,76.8
"1688","68809","78",0,39,62.9
"1689","68809","81",1,43,NA
"1690","68809","84",1,27,73.1
"1691","68809","85",0,32,NA
"1692","68809","89",1,74,92.5
"1693","68809","92",1,27,81.4
"1694","68809","93",1,31,70.3
"1695","68809","95",0,NA,53.7
