LFQ intensity delta10G-1-3h	LFQ intensity delta10G-2-3h	LFQ intensity delta10G-3-3h	LFQ intensity wt-1-3h	LFQ intensity wt-2-3h	LFQ intensity wt-3-3h	Protein names	Gene names
33.3581	33.49512	33.51265	33.56751	33.56502	33.55614	Dihydroorotase	pyrC
27.43428	26.59562	26.57644	25.94096	26.65854	26.78032	Probable protein kinase UbiB	ubiB
29.39061	29.13367	29.11741	29.97172	29.49133	29.9924	3-phosphoshikimate 1-carboxyvinyltransferase	aroA
32.07893	32.45956	32.39402	32.26176	32.24062	32.1179	D-alanine--D-alanine ligase A	ddlA
32.99604	32.68062	32.88169	32.89059	32.68906	32.9901	"Fructose-1,6-bisphosphatase class 1"	fbp
34.35475	34.2942	34.25666	34.26682	34.15565	33.71549	Purine nucleoside phosphorylase DeoD-type	deoD
34.51242	34.63552	34.38503	34.56734	34.49256	34.54576	cAMP-activated global transcriptional regulator CRP	crp
30.89482	31.06657	31.07233	31.33165	31.57398	31.36082	HTH-type transcriptional repressor PurR	purR
27.8613	27.97776	28.15827	27.61569	28.09189	28.42045	Siroheme synthase;Uroporphyrinogen-III C-methyltransferase;Precorrin-2 dehydrogenase;Sirohydrochlorin ferrochelatase	cysG
31.94259	31.79304	32.20752	32.05585	32.3404	32.29923	Histidine-binding periplasmic protein	hisJ
25.35417	26.04212	25.37315	26.02225	25.11708	26.43889	Enterobactin synthase component F	entF
29.08121	29.40426	29.08656	28.96642	28.86897	28.6811	RNA polymerase sigma factor RpoS	rpoS
27.76756	27.97169	28.13413	27.94486	28.01148	28.21327	Nuclease SbcCD subunit C	sbcC
30.82191	31.01425	31.22619	31.30089	31.24088	31.3059	5-methylcytosine-specific restriction enzyme B	mcrB
29.28171	28.98128	29.24946	29.88451	30.45748	30.30835	Thiosulfate-binding protein	cysP
32.78185	33.04975	32.85519	32.70913	32.83585	32.82438	Xaa-Pro dipeptidase	pepQ
27.48693	27.34832	27.84721	27.07419	27.11625	27.0167	"Probable L,D-transpeptidase YcbB"	ycbB
26.98956	26.96939	26.98956	27.18698	27.20256	27.02009	DNA mismatch repair protein MutL	mutL
30.94921	31.23905	31.55041	31.5784	31.75306	31.69403	S-(hydroxymethyl)glutathione dehydrogenase	frmA
28.1489	28.44608	28.45638	28.43936	28.39415	28.31851	Lipopolysaccharide core biosynthesis protein RfaG	rfaG
32.85775	33.10783	33.03014	33.08109	33.10345	33.21972	Aminomethyltransferase	gcvT
28.4438	28.32749	28.37667	28.22279	28.33748	28.65103	Trifunctional NAD biosynthesis/regulator protein NadR;Transcriptional regulator NadR;Nicotinamide mononucleotide adenylyltransferase;Ribosylnicotinamide kinase	nadR
29.70213	29.77722	30.11756	29.85042	30.01292	30.43956	"dTDP-glucose 4,6-dehydratase 2"	rffG
30.10412	30.05931	30.35857	29.35531	29.63651	30.0321	Peptidase T	pepT
29.23455	29.47307	29.91014	29.24928	29.5442	29.41038	ATPase RavA	ravA
29.45975	29.69026	29.85192	29.79419	29.8542	29.8144	Oxygen-independent coproporphyrinogen-III oxidase	hemN
28.60251	29.66165	29.26123	29.73216	29.62076	29.57463	tRNA-dihydrouridine synthase A	dusA
27.04667	27.20424	27.61238	26.93652	27.36319	27.01244	Uncharacterized protein YejA	yejA
30.96189	31.16776	31.13118	30.81566	30.99934	31.37844	Molybdate-binding periplasmic protein	modA
30.8313	30.70487	27.6569	30.5037	30.47479	31.70808	L-2-hydroxyglutarate oxidase LhgO	lhgO
26.80304	26.58864	26.64883	26.4895	26.65034	27.42526	Multidrug resistance protein MdtE	mdtE
29.43575	29.81591	29.83763	29.79503	29.83458	29.62197	Protein YhjJ	yhjJ
32.14029	31.82073	31.84547	31.53106	31.41493	31.64358	Putative glucose-6-phosphate 1-epimerase	yeaD
28.14569	28.01143	28.4964	28.53133	28.50211	28.26968	D-allose-binding periplasmic protein	alsB
32.64278	32.91755	32.59069	32.50966	32.4814	32.77272	Lipoyl synthase	lipA
26.3772	26.73583	26.48118	27.6489	27.02337	27.16385	Glutathione import ATP-binding protein GsiA	gsiA
31.19707	30.96651	31.26181	31.19742	31.18748	31.39968	Uncharacterized protein YbjX	ybjX
29.23485	29.02348	29.11165	29.09083	28.97733	29.19004	Uncharacterized protein YcbX	ycbX
28.79312	28.58985	28.73085	28.72475	28.65656	28.77502	Putative Lon protease homolog	ycbZ
27.44031	27.23954	27.24925	27.83244	28.21327	28.15098	"Probable D,D-dipeptide-binding periplasmic protein DdpA"	ddpA
29.36384	29.36538	29.58135	29.52515	29.73713	29.59251	Glutamate-pyruvate aminotransferase AlaC	alaC
28.99399	29.48053	29.422	28.87253	29.18742	29.2902	Uncharacterized oxidoreductase YajO	yajO
30.14819	30.25923	30.51606	30.35762	30.64882	30.79351	"2,5-diketo-D-gluconic acid reductase A"	dkgA
30.70017	30.70223	30.44727	30.4349	30.62827	30.51785	tRNA pseudouridine synthase D	truD
31.72688	31.73364	31.81482	31.64659	31.6224	31.88307	D-serine dehydratase	dsdA
31.27259	31.72151	31.40583	31.35626	31.66403	31.28626	Threonine synthase	thrC
27.03297	27.785	27.42878	27.76116	27.83942	27.98615	Adenylate cyclase	cyaA
28.34126	28.11317	28.23603	28.53159	28.62659	28.45344	Dihydroxy-acid dehydratase	ilvD
30.88445	31.33485	30.94629	31.30057	31.3676	31.46577	3-dehydroquinate synthase	aroB
32.56074	32.73959	32.54741	32.35702	32.32278	32.68435	PTS system N-acetylglucosamine-specific EIICBA component;N-acetylglucosamine permease IIC component;N-acetylglucosamine-specific phosphotransferase enzyme IIB component;N-acetylglucosamine-specific phosphotransferase enzyme IIA component	nagE
28.80002	28.88762	28.81589	29.52333	29.60918	29.67037	Lysine/arginine/ornithine-binding periplasmic protein	argT
30.58978	30.90268	30.91221	30.65378	31.02697	30.85058	Glutamate--cysteine ligase	gshA
32.70634	32.8372	32.57626	32.67396	32.57066	32.77623	ATP-dependent 6-phosphofructokinase isozyme 1	pfkA
33.62527	33.82819	33.4243	33.56525	33.53485	33.43092	Triosephosphate isomerase	tpiA
28.13492	27.98853	27.6571	27.97946	28.05987	28.65499	Tryptophan synthase beta chain	trpB
34.00496	34.18652	34.02135	33.91741	33.92575	33.67514	3-oxoacyl-[acyl-carrier-protein] synthase 1	fabB
31.0414	31.45611	31.12922	31.19929	31.15629	31.27642	Glutamate-pyruvate aminotransferase AlaA	alaA
31.5201	31.47644	31.62275	31.65143	31.8173	31.9067	DNA polymerase III subunit beta	dnaN
29.31896	29.58275	29.71417	29.29123	29.1587	29.39705	D-erythrose-4-phosphate dehydrogenase	epd
32.94329	32.92601	32.93818	32.99221	33.14771	33.37386	Aerobic respiration control protein ArcA	arcA
29.92536	30.09685	30.65753	30.21824	29.60003	29.98821	Lipopolysaccharide export system ATP-binding protein LptB	lptB
31.7198	32.18154	32.08854	31.93782	32.13755	32.44687	Formate dehydrogenase-O iron-sulfur subunit	fdoH
27.96069	27.70794	28.64509	26.36568	27.05848	26.8962	Hydrogenase-2 operon protein HybA	hybA
28.09763	28.01084	27.70471	27.3621	28.10275	28.04677	Replication-associated recombination protein A	rarA
31.16051	31.21425	31.19701	31.03604	31.10712	30.87994	Cell division protein FtsA	ftsA
32.43027	32.41334	32.46849	32.05559	32.38214	32.4716	Cytochrome bd-I ubiquinol oxidase subunit 1	cydA
32.61662	32.56799	32.84976	32.43653	32.12161	32.3714	Methionine aminopeptidase	map
34.89681	34.80232	35.11656	35.17255	35.18142	35.27083	Succinyl-CoA ligase [ADP-forming] subunit alpha	sucD
34.68092	34.75697	34.71052	34.58509	34.78931	35.02763	"D-tagatose-1,6-bisphosphate aldolase subunit GatY"	gatY
31.07336	31.24949	31.42907	30.73142	31.40573	31.52622	Cell division protein DamX	damX
31.48236	31.645	31.56588	31.38767	31.44781	31.47141	NH(3)-dependent NAD(+) synthetase	nadE
28.26383	28.33394	26.95094	27.39387	27.6478	27.63748	Single-stranded-DNA-specific exonuclease RecJ	recJ
32.04606	32.41825	32.243	32.08338	32.05653	32.05937	Membrane protein insertase YidC	yidC
28.58828	28.72296	28.58072	28.65496	28.44794	28.87238	"Lipopolysaccharide 1,2-N-acetylglucosaminetransferase"	waaU
30.84446	30.79258	30.60603	30.32989	30.80363	30.68278	Uncharacterized protein YbiB	ybiB
30.56484	30.72053	30.75685	30.47817	30.51766	30.258	Inorganic triphosphatase	ygiF
25.31814	25.62092	26.19287	24.79338	22.68983	25.69967	Putative acyl-CoA dehydrogenase AidB	aidB
28.17021	28.52335	28.56522	28.37086	27.78992	28.05709	ATP-dependent RNA helicase HrpB	hrpB
28.05776	28.30591	28.30917	28.20783	28.48723	28.67731	Murein hydrolase activator EnvC	envC
31.5854	32.08078	31.76999	31.78904	31.95643	31.95414	Ribosomal large subunit pseudouridine synthase B	rluB
28.97678	29.02636	29.128	28.71417	28.00292	28.75414	1-deoxy-D-xylulose 5-phosphate reductoisomerase	dxr
34.26416	34.50303	34.5221	34.47218	34.62543	34.70254	"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase"	gpmA
32.50484	32.51244	32.32817	32.19958	32.26514	32.44722	PTS system glucose-specific EIICB component;Glucose permease IIC component;Glucose-specific phosphotransferase enzyme IIB component	ptsG
30.23923	29.77323	30.18009	29.81771	29.90167	30.08537	Spermidine/putrescine import ATP-binding protein PotA	potA
30.93199	30.68001	30.61956	30.38484	30.52234	30.68721	Low specificity L-threonine aldolase	ltaE
28.33381	28.24586	27.96697	27.38829	28.10944	28.07786	Uncharacterized protein YbjD	ybjD
29.97391	30.16818	30.28063	30.03957	30.10312	30.45543	Beta-hexosaminidase	nagZ
23.17219	24.2981	23.7543	23.88428	24.65785	22.27651	Uncharacterized protein YdcJ	ydcJ
32.3233	32.40141	32.51825	32.32198	32.44813	32.35182	Chain length determinant protein	wzzB
31.72359	31.9366	32.09726	31.8553	32.01342	32.07568	Probable deferrochelatase/peroxidase YfeX	yfeX
27.128	28.24513	27.86136	27.62338	28.6967	27.86874	Protein CsiD	csiD
26.2636	27.3013	26.77304	26.61975	27.00764	27.25827	Probable pyridine nucleotide-disulfide oxidoreductase RclA	rclA
29.77197	30.07788	29.89879	29.7221	29.7179	29.95906	N-ethylmaleimide reductase	nemA
28.69372	28.55446	28.2343	28.43241	28.12406	28.57315	Uncharacterized electron transport protein YkgF	ykgF
34.35921	34.55711	34.16474	34.06776	34.5499	34.41652	Superoxide dismutase [Mn]	sodA
30.25845	30.33394	30.47759	30.06651	30.15617	30.03171	Signal peptidase I	lepB
31.92447	32.11014	32.04622	32.33509	32.33652	32.5174	Tryptophan--tRNA ligase	trpS
26.57989	26.88285	25.32773	26.59491	26.34663	27.56027	L-arabinose-binding periplasmic protein	araF
34.62783	34.68687	34.86517	34.5519	34.51254	34.77848	D-ribose-binding periplasmic protein	rbsB
26.35441	26.64705	26.68003	26.84697	27.18177	26.75379	RecBCD enzyme subunit RecD	recD
28.34333	29.1689	28.84455	28.62342	28.9767	28.86912	Exodeoxyribonuclease I	sbcB
31.34905	31.50886	31.87372	31.64856	31.83428	31.68758	Orotidine 5-phosphate decarboxylase	pyrF
29.35613	29.51788	29.56116	29.87736	29.75085	29.82498	Valine--pyruvate aminotransferase	avtA
33.83234	33.60752	33.66225	33.43365	33.50486	33.55705	Carbamoyl-phosphate synthase small chain	carA
31.13265	31.30258	31.57389	31.56624	31.4629	31.48443	Phosphoribosylaminoimidazole-succinocarboxamide synthase	purC
34.45157	34.36737	34.63412	34.07599	34.37146	34.62799	Ribosome-recycling factor	frr
29.02105	28.83837	28.91897	28.89516	28.63232	28.68468	Anaerobic glycerol-3-phosphate dehydrogenase subunit C	glpC
30.58343	30.32935	30.32249	30.68771	30.40538	30.51916	D-3-phosphoglycerate dehydrogenase	serA
22.96199	22.12338	23.28856	25.00988	26.89389	26.4954	Dipeptide transport ATP-binding protein DppD	dppD
32.62769	33.20181	33.2236	33.12139	32.94749	33.06538	3-oxoacyl-[acyl-carrier-protein] synthase 2	fabF
31.17421	30.91221	31.24229	31.29275	31.17647	30.75899	"Phospho-2-dehydro-3-deoxyheptonate aldolase, Phe-sensitive"	aroG
30.17867	30.04934	30.29887	30.10112	29.86777	30.55243	Coenzyme A biosynthesis bifunctional protein CoaBC;Phosphopantothenoylcysteine decarboxylase;Phosphopantothenate--cysteine ligase	coaBC
30.8566	30.85185	30.80701	30.75525	30.99974	30.32335	Putative acid--amine ligase YgiC	ygiC
28.39656	28.71885	28.54679	28.68779	28.69009	28.50412	DNA-cytosine methyltransferase	dcm
33.247	33.4145	33.16312	33.01583	32.92559	33.258	UTP--glucose-1-phosphate uridylyltransferase	galU
29.44739	29.92025	29.56213	29.29448	29.48306	29.27538	D-alanyl-D-alanine endopeptidase	pbpG
30.60443	30.68412	30.99793	30.95851	31.02914	31.0949	Probable protease SohB	sohB
31.1343	31.44263	31.06433	31.19671	31.34032	31.38257	Riboflavin biosynthesis protein RibF;Riboflavin kinase;FMN adenylyltransferase	ribF
30.95067	30.22711	30.10649	30.25923	30.38833	30.63279	Molybdopterin molybdenumtransferase	moeA
32.38224	32.18618	32.63845	32.49147	32.53292	32.28165	L-serine dehydratase 1	sdaA
32.33509	32.35595	32.56577	32.24448	32.13516	32.44337	"Selenide, water dikinase"	selD
28.70616	29.35821	29.45276	28.92352	29.25309	28.84488	NAD/NADP-dependent betaine aldehyde dehydrogenase	betB
30.9393	31.0761	31.25389	30.92359	31.11129	31.27437	Methionyl-tRNA formyltransferase	fmt
31.54435	31.41155	31.41559	31.47179	31.42702	31.65352	Flavohemoprotein	hmp
29.11924	29.2264	29.11011	29.1025	29.21579	29.59026	2-octaprenylphenol hydroxylase	ubiI
28.14054	28.56409	28.25633	28.59779	28.05061	28.76477	N-acetylmuramoyl-L-alanine amidase AmiB	amiB
29.93157	29.53211	29.6986	29.05212	29.18395	29.68036	Nicotinate-nucleotide pyrophosphorylase [carboxylating]	nadC
28.10969	28.11674	28.20439	27.99959	27.8846	28.51495	Uncharacterized protein YicH	yicH
31.43196	31.86846	31.46592	31.55293	31.32796	32.06901	Recombination-associated protein RdgC	rdgC
31.28433	31.19525	31.09773	31.0459	31.15116	31.13846	Dual-specificity RNA methyltransferase RlmN	rlmN
29.51616	29.01603	29.67838	27.51571	29.40767	29.80836	Ribosomal RNA large subunit methyltransferase J	rlmJ
30.87621	30.5107	30.69868	31.19466	30.88983	30.85742	"UDP-N-acetylmuramate--L-alanyl-gamma-D-glutamyl-meso-2,6-diaminoheptandioate ligase"	mpl
30.07966	30.05427	29.96953	30.1025	29.80799	29.52199	Ribosomal RNA small subunit methyltransferase C	rsmC
29.56584	29.67916	29.73158	29.54034	29.53421	29.73187	Arabinose 5-phosphate isomerase KdsD	kdsD
25.60874	26.7335	24.83981	25.76767	26.22612	26.13716	"Lysine decarboxylase, constitutive"	ldcC
29.69265	29.85018	29.91342	29.76091	29.98101	29.87866	tRNA pseudouridine synthase B	truB
31.19355	31.16435	31.57561	31.23152	31.2259	31.66759	4-hydroxy-3-methylbut-2-enyl diphosphate reductase	ispH
28.84245	28.72722	29.16024	28.37165	28.45207	29.02944	UPF0194 membrane protein YbhG	ybhG
25.81468	25.93139	26.91399	26.44596	26.51907	26.5952	Putative cyclic di-GMP phosphodiesterase YliE	yliE
30.82646	30.63235	30.39264	30.50786	30.55518	30.58513	Ribosomal RNA large subunit methyltransferase I	rlmI
31.12626	30.44963	30.35699	30.31603	29.93832	30.6501	"PTS-dependent dihydroxyacetone kinase, dihydroxyacetone-binding subunit DhaK"	dhaK
30.43161	30.73949	30.44283	31.38134	31.15768	31.41221	Oligopeptide transport ATP-binding protein OppD	oppD
26.68405	27.01638	27.11207	27.23306	27.20918	27.25187	Uncharacterized aldolase LsrF	lsrF
28.16897	28.55563	28.56326	28.88274	28.7051	28.6432	Peptide transport periplasmic protein SapA	sapA
30.28483	29.92238	30.06612	29.94252	30.0041	30.18258	Aspartate--ammonia ligase	asnA
29.13509	29.56879	29.64444	29.77881	29.67091	29.65344	3-dehydroquinate dehydratase	aroD
29.95671	29.97978	29.84826	29.71396	29.73562	29.51358	tRNA N6-adenosine threonylcarbamoyltransferase	tsaD
31.42547	31.20536	31.22182	31.32839	31.19742	31.40887	Glycerol-3-phosphate transporter	glpT
27.87824	26.08746	27.42142	26.71253	25.8025	26.7278	Lysine-sensitive aspartokinase 3	lysC
32.17715	32.35891	32.5869	32.6132	32.20831	32.6018	Deoxyribose-phosphate aldolase	deoC
34.18172	33.61774	33.72649	33.74425	33.76781	34.06672	Ribose-phosphate pyrophosphokinase	prs
29.30904	29.72444	30.03577	29.69964	30.08068	29.90899	Probable phosphoglycerate mutase GpmB	gpmB
34.99555	34.16541	34.81287	34.92384	35.04026	34.61308	Aspartate carbamoyltransferase regulatory chain	pyrI
36.31161	36.55127	36.52982	36.71996	36.55084	36.36235	50S ribosomal protein L9	rplI
31.2461	30.79296	30.95407	30.70099	30.6483	30.99867	Pyruvate formate-lyase 1-activating enzyme	pflA
32.76295	33.02753	33.11106	33.02556	32.83874	32.85075	Thioredoxin reductase	trxB
31.73868	31.56429	31.43042	31.3688	31.44712	31.74859	Aspartate-semialdehyde dehydrogenase	asd
32.10024	32.35686	32.53575	32.20122	32.31363	32.20186	Transcriptional regulatory protein OmpR	ompR
32.07035	32.07038	32.28223	32.0039	32.32045	32.3019	2-hydroxy-3-oxopropionate reductase	garR
28.53657	28.77367	28.97101	28.59417	28.6806	28.945	3-deoxy-D-manno-octulosonic acid transferase	waaA
31.67131	31.75326	31.66899	31.75023	31.74607	31.69025	Leucine-responsive regulatory protein	lrp
29.36359	29.69835	29.25284	29.43801	29.41109	29.44784	Uncharacterized protein YiiD	yiiD
26.56677	25.88518	26.24934	27.06753	26.568	26.88681	Osmolarity sensor protein EnvZ	envZ
31.353	31.16669	31.47682	30.87481	31.20711	31.29855	7-alpha-hydroxysteroid dehydrogenase	hdhA
30.71759	30.50294	30.94712	30.74551	30.93923	30.95795	Modulator of drug activity B	mdaB
27.95527	28.27404	28.32036	28.26472	27.89018	28.78669	Cysteine synthase B	cysM
27.83539	27.26177	27.86508	27.03643	26.51022	27.76648	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase	menD
30.634	30.94817	30.69611	30.68261	30.88293	31.09138	Arabinose 5-phosphate isomerase GutQ	gutQ
26.97257	26.70794	25.92112	27.04166	26.50768	26.37423	Primosomal protein N	priA
29.98005	30.60364	30.57443	30.38597	30.67808	30.6032	UDP-N-acetylmuramate--L-alanine ligase	murC
30.50465	30.104	30.12127	30.12115	30.64607	30.39387	Ubiquinone biosynthesis O-methyltransferase	ubiG
32.91615	33.16141	32.99243	32.68827	32.74156	32.96349	"Glutamate-1-semialdehyde 2,1-aminomutase"	hemL
29.65313	30.1587	30.16483	29.97364	30.15316	30.31322	Mrr restriction system protein	mrr
31.18246	31.12472	31.254	31.41084	31.26461	31.20163	Cytosine deaminase	codA
30.79064	31.07546	31.22699	30.76319	30.75581	30.8746	Probable acrylyl-CoA reductase AcuI	acuI
30.19894	30.22883	30.5871	30.21292	30.33373	30.90992	UDP-N-acetylglucosamine 2-epimerase	wecB
28.86127	29.19833	29.72283	29.56894	29.00646	29.70668	Quinone oxidoreductase 1	qorA
30.8027	31.01299	30.48289	30.78308	30.73344	30.9733	Uroporphyrinogen decarboxylase	hemE
32.83223	32.77187	32.43681	32.32908	32.46222	32.79805	Putative ABC transporter arginine-binding protein 2	artI
28.94475	28.97943	28.89877	28.89044	29.19554	28.66387	Uncharacterized protein YeiR	yeiR
30.27453	29.99645	29.96898	30.39775	30.00303	30.08588	Ribosomal large subunit pseudouridine synthase D	rluD
29.77795	29.35498	29.50294	28.99734	28.98479	28.76192	Uncharacterized ABC transporter ATP-binding protein YadG	yadG
32.06869	32.52501	32.29874	32.03187	32.29628	32.15388	Oxidoreductase UcpA	ucpA
28.69062	27.47197	28.09341	25.29235	26.13729	27.76787	"Probable L,D-transpeptidase ErfK/SrfK"	erfK
31.2168	30.73093	30.96072	30.6852	30.88526	31.20478	Isoaspartyl dipeptidase	iadA
25.92841	21.92665	24.68137	24.2827	24.58164	24.466	Uncharacterized protein YjiM	yjiM
34.58604	34.22777	34.66416	30.57245	30.75828	31.14989	Autonomous glycyl radical cofactor	grcA
28.48704	29.26316	29.03375	29.27717	29.06571	29.37273	Succinate semialdehyde dehydrogenase [NAD(P)+] Sad	sad
31.07106	31.4113	31.47668	31.42627	31.70549	31.46951	Transcriptional regulator KdgR	kdgR
27.17303	27.38772	27.23013	26.73014	26.45428	27.09124	Acetoacetate metabolism regulatory protein AtoC	atoC
24.19543	25.50882	25.54907	24.82309	25.85096	25.58838	Xylose isomerase	xylA
34.87271	35.12247	35.26525	35.44751	35.13136	35.05666	50S ribosomal protein L15	rplO
26.42294	26.11229	26.91479	26.56058	26.8655	26.2634	Glutathione-regulated potassium-efflux system protein KefC	kefC
30.45464	30.72289	30.72598	30.9761	30.84528	30.95387	4-hydroxy-tetrahydrodipicolinate reductase	dapB
29.39071	28.80772	28.82772	28.66909	29.16725	29.5545	Histidine biosynthesis bifunctional protein HisB;Histidinol-phosphatase;Imidazoleglycerol-phosphate dehydratase	hisB
27.8172	27.49076	27.21336	27.23571	26.85555	26.81702	T-protein;Chorismate mutase;Prephenate dehydrogenase	tyrA
30.79258	30.5549	30.85913	30.42021	30.47518	30.54112	Bifunctional protein FolC;Folylpolyglutamate synthase;Dihydrofolate synthase	folC
30.4352	30.13834	29.7568	29.78126	29.61866	29.91356	UDP-N-acetylenolpyruvoylglucosamine reductase	murB
29.97323	30.0683	30.23364	29.88268	29.87251	30.09283	Galactose-1-phosphate uridylyltransferase	galT
28.40296	28.4827	28.91744	28.25948	28.2602	28.41953	"Alanine racemase, biosynthetic"	alr
29.68801	29.5861	29.68973	29.61547	29.54442	29.46215	Pantothenate kinase	coaA
31.83767	31.78912	31.81368	31.5147	32.12556	32.05407	Elongation factor P-like protein	yeiP
31.22487	30.87818	30.68771	30.82016	30.76722	30.65983	Probable GTP-binding protein EngB	engB
32.35791	32.15789	32.37119	31.81142	32.16522	32.29513	Uridylate kinase	pyrH
32.96077	33.09409	33.27933	32.92344	33.18909	33.39445	Protein RecA	recA
35.52455	35.22134	35.21209	35.00834	35.31703	35.39087	50S ribosomal protein L19	rplS
33.14131	33.18975	33.08165	32.71182	32.93444	33.35048	Protein TolB	tolB
32.54725	32.27547	32.26531	31.93695	32.10062	32.3777	Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE	ubiE
34.86203	34.95489	34.98706	35.33834	35.07164	34.93157	Uracil phosphoribosyltransferase	upp
35.91641	36.16616	35.96058	35.83031	36.05557	35.98475	50S ribosomal protein L13	rplM
33.74925	33.42067	33.19934	32.98565	33.21943	33.28733	Malonyl CoA-acyl carrier protein transacylase	fabD
31.40553	31.43649	31.26047	30.72143	31.36458	31.45332	Outer membrane protein assembly factor BamD	bamD
31.14461	31.36207	31.13308	30.47798	30.78215	30.89114	Fumarate reductase iron-sulfur subunit	frdB
29.62338	29.36079	29.69242	29.04414	29.41026	29.73618	Glutaredoxin-2	grxB
32.35392	32.0685	32.05985	31.84633	31.6422	31.36979	Stringent starvation protein A	sspA
29.53219	29.53953	29.63748	29.52561	29.69325	29.7728	Catabolite repressor/activator	cra
29.89643	29.96086	29.82605	29.50169	29.75557	29.90167	Hydrogen peroxide-inducible genes activator	oxyR
34.12494	33.84539	34.03321	33.74635	33.64313	33.74294	UPF0438 protein YifE	yifE
29.65533	29.704	29.54626	29.71803	29.5082	29.57082	Ribosomal RNA large subunit methyltransferase M	rlmM
31.5993	31.56556	31.45312	31.6294	31.50024	31.63772	Transcriptional regulatory protein CpxR	cpxR
28.91667	28.3995	28.63301	28.85287	28.33935	28.42986	Regulator of sigma-E protease RseP	rseP
27.86035	28.24045	28.1812	27.55311	28.19451	28.41014	Ethanolamine ammonia-lyase heavy chain	eutB
28.61407	28.55289	29.02749	28.39297	28.46513	28.17517	Toxin-antitoxin biofilm protein TabA	tabA
28.17954	28.51243	28.4233	29.14841	27.95748	28.10919	Transcriptional regulatory protein GlrR	glrR
29.39581	29.57071	29.57734	29.49127	29.8547	29.77676	Amidophosphoribosyltransferase	purF
27.89539	27.13183	28.38001	27.89452	26.75735	26.98739	Uncharacterized oxidoreductase YghA	yghA
27.0701	26.36668	26.08428	26.19237	25.66817	26.32922	Lipid-A-disaccharide synthase	lpxB
26.52389	26.44242	26.90828	27.04947	26.27092	26.47014	RNase E specificity factor CsrD	csrD
28.50142	28.47947	28.57326	27.6799	28.04317	27.84266	Acetylornithine/succinyldiaminopimelate aminotransferase	argD
24.56999	26.05441	25.38007	25.93966	25.4232	26.18698	Sensor protein KdpD	kdpD
30.35637	30.62923	30.68387	30.94377	30.84864	30.96596	Transcriptional regulatory protein PhoP	phoP
28.14729	28.563	28.50218	29.08823	28.95889	29.47077	Sulfate adenylyltransferase subunit 1	cysN
28.88399	29.30908	29.27872	28.66854	28.69624	28.72793	ATP-binding/permease protein CydC	cydC
27.67216	27.45466	27.57636	27.36711	27.13379	27.2166	NAD-dependent dihydropyrimidine dehydrogenase subunit PreA	preA
27.80366	27.61737	27.06507	27.09738	26.93888	27.1694	Cytoplasmic alpha-amylase	amyA
30.18978	30.42442	29.88922	30.01438	30.42522	30.4451	UDP-N-acetyl-D-mannosamine dehydrogenase	wecC
32.44495	32.13983	32.65964	32.49653	32.40892	32.61739	L-serine dehydratase 2	sdaB
28.69551	28.21711	28.12943	27.6254	27.2062	26.70253	Methionine import ATP-binding protein MetN	metN
31.14133	30.37109	30.65608	30.6495	30.18837	29.82055	Molecular chaperone Hsp31 and glyoxalase 3	hchA
27.28648	27.66452	27.80913	27.17474	26.89122	28.31536	Bifunctional NAD(P)H-hydrate repair enzyme Nnr;ADP-dependent (S)-NAD(P)H-hydrate dehydratase;NAD(P)H-hydrate epimerase	nnr
29.47991	29.02639	29.84963	29.22819	29.20958	29.62737	Lipoate-protein ligase A	lplA
28.89536	29.77439	29.35605	28.82116	29.42514	29.39579	Ribosomal large subunit pseudouridine synthase F	rluF
29.64998	29.93368	29.73273	29.88249	29.84707	29.72437	Nucleoid-associated protein YejK	yejK
28.85335	29.21544	29.18855	29.1115	29.30293	29.47997	Blue copper oxidase CueO	cueO
29.5372	29.43895	29.91413	29.22435	29.44437	29.96292	Curved DNA-binding protein	cbpA
26.39875	27.15721	26.7474	26.35839	26.01644	26.20792	Protein YhjK	yhjK
32.87897	32.84595	32.85703	32.66928	32.74308	32.68012	Oxygen-insensitive NAD(P)H nitroreductase	nfsB
27.80236	28.0086	27.96008	27.46669	27.9989	27.80507	Uncharacterized protein YjgR	yjgR
28.70395	29.04965	27.94905	28.79442	28.76088	29.11066	Uncharacterized oxidoreductase YjhC	yjhC
24.82963	24.68496	25.47284	25.38617	24.62812	26.20086	Putrescine aminotransferase	patA
27.90334	28.13305	27.63346	27.90449	27.98815	27.67175	Glutathionyl-hydroquinone reductase YqjG	yqjG
33.19591	33.22748	33.17087	32.98043	32.59497	32.92194	RNA chaperone ProQ	proQ
30.74831	30.74751	30.81673	31.23871	31.13179	31.0862	Putative acyl-CoA thioester hydrolase YbhC	ybhC
30.99873	30.99968	31.22452	31.51277	30.99098	31.14145	D-lactate dehydrogenase	ldhA
35.17634	35.53893	35.44032	35.26609	35.48586	35.64922	50S ribosomal protein L24	rplX
28.4993	28.56801	28.82829	27.14034	27.23114	28.04916	Hydrogenase-2 small chain	hybO
27.39116	28.22366	28.50287	28.24168	28.04046	28.10225	Putative gluconeogenesis factor	ybhK
28.19676	27.24318	28.00646	27.95649	28.31894	28.64822	Glutathione-binding protein GsiB	gsiB
28.16763	27.79365	28.10924	28.38195	28.01717	27.96527	Uncharacterized protein YcjX	ycjX
